Square Feet,Bedrooms,Bathrooms,Garage Size,House Price
1865.243091,4.13766948,1.894557924,1.17802703,556871.5751
977.702368,2.024571731,0.7809987108,2.869217168,285935.7843
635.8783346,1.969185442,0.5587679472,0.5613926753,185886.4819
441.5005647,1.336543812,0.3210442246,2.711951865,110205.4082
2625.318358,5.972692315,1.329088809,1.63141785,794598.2432
552.7318054,1.971845937,1.205895219,1.370734265,146532.3229
786.3294467,2.548180398,1.06308127,2.646124231,253400.5576
1474.900683,3.805604708,1.522603253,1.375811885,438470.5446
3283.972919,6.579659923,1.923716565,2.17250291,987786.2649
388.4051032,1.136788271,0.7806127178,1.197075965,126742.716
3351.77963,7.433549822,1.739845081,2.712133179,1020147.865
384.3936316,0.9404169404,0.6778244117,2.070075061,84195.37835
3905.83786,8.332712326,2.93041407,2.098866163,1169719.389
1874.604807,3.803547602,1.813807649,0.9831612047,581017.8009
3907.044353,8.01408523,2.291681128,2.270335928,1140097.759
2419.382079,4.857285952,2.171261194,1.908183166,734857.3796
2957.054318,6.707806339,1.710228785,0.7200608201,843603.1063
156.751169,0.5374270261,1.027694407,0.4816164675,26836.8534
1131.22785,2.607807381,1.50699163,2.389174424,340888.5763
480.7862449,1.889653783,1.03959571,2.877499809,111635.4415
1184.56079,3.073535982,1.222728332,1.374416482,336456.1387
474.9108758,0.9816606812,1.111743405,1.772952496,113399.6562
1271.932718,2.708559592,0.9289866433,2.573167933,415223.5738
1657.051978,3.935582358,1.677469544,1.37167036,501438.8854
256.5899854,1.090408559,0.7461716846,2.85562343,88652.80864
2769.888477,5.777669776,1.398181096,1.727253486,827878.3024
2266.405817,5.467025632,1.480436426,2.462301362,674168.5807
1061.557964,2.737081883,0.6789198428,2.726531155,286787.1597
2092.992214,4.721617231,2.028325497,2.446571456,623309.4892
375.762043,1.341434062,0.6662513286,0.4782433903,97866.99319
2303.785982,5.337693994,1.649284357,1.886695317,709609.2046
3717.18479,7.746314576,2.498064912,1.195302776,1139901.447
1274.27581,2.946772682,1.005722511,0.1881388561,412354.5302
2669.64152,5.549126789,1.471721032,1.272096756,819274.0783
527.1914496,1.240575905,1.085713458,0.7760522007,146595.3283
2865.308816,6.674990023,1.62250232,2.547114925,838853.0786
1157.624372,3.054799539,1.090131168,0.09991387964,363395.0548
732.765448,1.955989705,0.590699753,2.876948166,227435.2937
2346.051739,4.919518106,1.270870354,1.066106545,669619.2869
80.43018475,0.4152168513,0.9024066098,1.070120671,31457.09564
3315.760117,6.689549394,2.630799547,0.04898550805,1012750.961
18.78190477,0.4719804351,0.9702256104,0.5556969757,7053.013143
